iteration,final_score,validation_score,activation_rate,activation_penalty,performance_outcomes,temporal_consistency,context_sensitivity,recommendation_effectiveness,elite_pattern_alignment
1,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
2,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
3,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
4,0.7404901214815985,0.7404901214815985,0.2651473040578099,0.0,0.5,0.9024506074079925,1.0,0.5666666666666667,1.0
5,0.7423726208197315,0.7423726208197315,0.2526403557531962,0.0,0.5,0.9118631040986579,1.0,0.5666666666666667,1.0
6,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
7,0.742404687518465,0.742404687518465,0.25236242356864924,0.0,0.5,0.9120234375923248,1.0,0.5666666666666667,1.0
8,0.7398257090382412,0.7398257090382412,0.26820455808782656,0.0,0.5,0.8991285451912062,1.0,0.5666666666666667,1.0
9,0.7408806374137679,0.7408806374137679,0.2623679822123402,0.0,0.5,0.9044031870688399,1.0,0.5666666666666667,1.0
10,0.7425117526637098,0.7425117526637098,0.2518065591995553,0.0,0.5,0.9125587633185496,1.0,0.5666666666666667,1.0
11,0.7425117526637098,0.7425117526637098,0.2518065591995553,0.0,0.5,0.9125587633185496,1.0,0.5666666666666667,1.0
12,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
13,0.7414503842313657,0.7414503842313657,0.25931072818232354,0.0,0.5,0.9072519211568282,1.0,0.5666666666666667,1.0
14,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
15,0.7425117526637098,0.7425117526637098,0.2518065591995553,0.0,0.5,0.9125587633185496,1.0,0.5666666666666667,1.0
16,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
17,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
18,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
19,0.7425117526637098,0.7425117526637098,0.2518065591995553,0.0,0.5,0.9125587633185496,1.0,0.5666666666666667,1.0
20,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
21,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
22,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
23,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
24,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
25,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
26,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
27,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
28,0.7385287936320278,0.7385287936320278,0.27793218454697055,0.0,0.5,0.8926439681601397,1.0,0.5666666666666667,1.0
29,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
30,0.7417530161254539,0.7417530161254539,0.25680933852140075,0.0,0.5,0.9087650806272696,1.0,0.5666666666666667,1.0
31,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
32,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
33,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
34,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
35,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
36,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
37,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
38,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
39,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
40,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
41,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
42,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
43,0.7423248685701705,0.7423248685701705,0.25319622012229015,0.0,0.5,0.9116243428508531,1.0,0.5666666666666667,1.0
44,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
45,0.7425117526637098,0.7425117526637098,0.2518065591995553,0.0,0.5,0.9125587633185496,1.0,0.5666666666666667,1.0
46,0.7417071245530399,0.7417071245530399,0.2573652028904947,0.0,0.5,0.9085356227651994,1.0,0.5666666666666667,1.0
47,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
48,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
49,0.7391917836715661,0.7391917836715661,0.2726514730405781,0.0,0.5,0.8959589183578308,1.0,0.5666666666666667,1.0
50,0.7412035029840277,0.7412035029840277,0.2607003891050584,0.0,0.5,0.9060175149201384,1.0,0.5666666666666667,1.0
51,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
52,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
53,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
54,0.7425117526637098,0.7425117526637098,0.2518065591995553,0.0,0.5,0.9125587633185496,1.0,0.5666666666666667,1.0
55,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
56,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
57,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
58,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
59,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
60,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
61,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
62,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
63,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
64,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
65,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
66,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
67,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
68,0.742352101685639,0.742352101685639,0.2529182879377432,0.0,0.5,0.9117605084281953,1.0,0.5666666666666667,1.0
69,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
70,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
71,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
72,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
73,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
74,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
75,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
76,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
77,0.7425117526637098,0.7425117526637098,0.2518065591995553,0.0,0.5,0.9125587633185496,1.0,0.5666666666666667,1.0
78,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
79,0.7415428525231764,0.7415428525231764,0.2584769316286826,0.0,0.5,0.9077142626158824,1.0,0.5666666666666667,1.0
80,0.7392947084658489,0.7392947084658489,0.27181767648693717,0.0,0.5,0.8964735423292448,1.0,0.5666666666666667,1.0
81,0.7420166660299875,0.7420166660299875,0.2554196775986659,0.0,0.5,0.9100833301499376,1.0,0.5666666666666667,1.0
82,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
83,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
84,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
85,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
86,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
87,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
88,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
89,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
90,0.7425117526637098,0.7425117526637098,0.2518065591995553,0.0,0.5,0.9125587633185496,1.0,0.5666666666666667,1.0
91,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
92,0.7411229876861211,0.7411229876861211,0.26097832128960535,0.0,0.5,0.9056149384306054,1.0,0.5666666666666667,1.0
93,0.7417071245530399,0.7417071245530399,0.2573652028904947,0.0,0.5,0.9085356227651994,1.0,0.5666666666666667,1.0
94,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
95,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
96,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
97,0.7424312373658032,0.7424312373658032,0.25208449138410227,0.0,0.5,0.9121561868290166,1.0,0.5666666666666667,1.0
98,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
99,0.7425117526637098,0.7425117526637098,0.2518065591995553,0.0,0.5,0.9125587633185496,1.0,0.5666666666666667,1.0
100,0.741429865097273,0.741429865097273,0.2595886603668705,0.0,0.5,0.9071493254863654,1.0,0.5666666666666667,1.0
